GPRD;DATE_ONLY
109,07;2011-11-18
75,72;2011-11-19
58,42;2011-11-20
111,56;2011-11-21
58,25;2011-11-22
102,49;2011-11-23
67,85;2011-11-24
83,16;2011-11-25
49,88;2011-11-26
113,08;2011-11-27
105,42;2011-11-28
107,73;2011-11-29
84,25;2011-11-30
104,03;2011-12-01
104,31;2011-12-02
76,69;2011-12-03
58,46;2011-12-04
97,07;2011-12-05
73,94;2011-12-06
49,84;2011-12-07
87,08;2011-12-08
71,66;2011-12-09
32,53;2011-12-10
33,94;2011-12-11
99,59;2011-12-12
89,63;2011-12-13
113,06;2011-12-14
82,24;2011-12-15
118,86;2011-12-16
48,18;2011-12-17
68,87;2011-12-18
86,15;2011-12-19
180,25;2011-12-20
80,14;2011-12-21
83,38;2011-12-22
75,76;2011-12-23
93,64;2011-12-24
62,95;2011-12-25
103,27;2011-12-26
68,30;2011-12-27
86,67;2011-12-28
115,55;2011-12-29
125,90;2011-12-30
57,44;2011-12-31
72,44;2012-01-01
60,11;2012-01-02
88,10;2012-01-03
76,94;2012-01-04
82,44;2012-01-05
100,60;2012-01-06
73,75;2012-01-07
55,73;2012-01-08
88,39;2012-01-09
66,64;2012-01-10
103,97;2012-01-11
103,84;2012-01-12
98,10;2012-01-13
102,56;2012-01-14
53,32;2012-01-15
72,86;2012-01-16
56,63;2012-01-17
73,86;2012-01-18
103,20;2012-01-19
70,93;2012-01-20
60,44;2012-01-21
39,20;2012-01-22
109,54;2012-01-23
103,52;2012-01-24
65,63;2012-01-25
85,76;2012-01-26
58,42;2012-01-27
51,40;2012-01-28
38,22;2012-01-29
128,43;2012-01-30
69,98;2012-01-31
134,97;2012-02-01
57,82;2012-02-02
102,98;2012-02-03
65,95;2012-02-04
40,40;2012-02-05
124,92;2012-02-06
142,99;2012-02-07
82,25;2012-02-08
85,78;2012-02-09
68,33;2012-02-10
51,01;2012-02-11
45,38;2012-02-12
61,83;2012-02-13
80,42;2012-02-14
128,72;2012-02-15
81,79;2012-02-16
49,79;2012-02-17
90,72;2012-02-18
42,47;2012-02-19
150,12;2012-02-20
141,49;2012-02-21
101,15;2012-02-22
68,30;2012-02-23
152,73;2012-02-24
133,75;2012-02-25
51,56;2012-02-26
55,00;2012-02-27
113,57;2012-02-28
146,90;2012-02-29
91,45;2012-03-01
99,76;2012-03-02
70,79;2012-03-03
94,46;2012-03-04
116,52;2012-03-05
110,79;2012-03-06
138,18;2012-03-07
154,15;2012-03-08
132,38;2012-03-09
24,95;2012-03-10
46,10;2012-03-11
71,49;2012-03-12
64,65;2012-03-13
69,16;2012-03-14
64,95;2012-03-15
72,73;2012-03-16
53,29;2012-03-17
31,61;2012-03-18
107,00;2012-03-19
104,61;2012-03-20
124,38;2012-03-21
67,60;2012-03-22
93,31;2012-03-23
51,31;2012-03-24
51,46;2012-03-25
79,67;2012-03-26
116,37;2012-03-27
149,58;2012-03-28
83,45;2012-03-29
103,07;2012-03-30
91,25;2012-03-31
141,78;2012-04-01
154,47;2012-04-02
134,50;2012-04-03
126,08;2012-04-04
116,87;2012-04-05
88,28;2012-04-06
91,54;2012-04-07
76,59;2012-04-08
126,88;2012-04-09
116,15;2012-04-10
85,70;2012-04-11
136,67;2012-04-12
112,74;2012-04-13
83,19;2012-04-14
56,68;2012-04-15
136,95;2012-04-16
117,75;2012-04-17
99,27;2012-04-18
65,09;2012-04-19
100,38;2012-04-20
48,30;2012-04-21
60,47;2012-04-22
90,46;2012-04-23
93,37;2012-04-24
83,95;2012-04-25
118,68;2012-04-26
84,50;2012-04-27
34,00;2012-04-28
69,94;2012-04-29
99,85;2012-04-30
75,19;2012-05-01
87,57;2012-05-02
101,76;2012-05-03
62,24;2012-05-04
38,94;2012-05-05
25,48;2012-05-06
60,39;2012-05-07
